"Prevalence, Employment, and Treatment Rates of Major Depressive Disorder",,,,,,,,
,2005,,,,2010,,,
Cost Category,Cost Per Patient w/ MDD,Cost Per Patient w/o MDD,Incremental Cost per Patient,% of Total Incremental Cost,Cost Per Patient w/ MDD,Cost Per Patient w/o MDD,Incremental Cost per Patient,% of Total Incremental Cost
MDD Costs,"$2,294.00",$0.00,"$2,294.00",40,"$2,366.00",$0.00,"$2,366.00",40
Medical Services,"$1,264.00",$0.00,"$1,264.00",22,"$1,410.00",$0.00,"$1,410.00",24
Inpatient,$387.00,$0.00,$387.00,7,$411.00,$0.00,$411.00,7
Emergency Department,$8.00,$0.00,$8.00,0,$14.00,$0.00,$14.00,0
Outpatient,$773.00,$0.00,$773.00,14,$865.00,$0.00,$865.00,14
Other,$96.00,$0.00,$96.00,2,$121.00,$0.00,$121.00,2
Prescription Drug,"$1,030.00",$0.00,"$1,030.00",18,$955.00,$0.00,$955.00,16
Antidepressants,$783.00,$0.00,$783.00,14,$584.00,$0.00,$584.00,10
Antipsychotics/antimanics,$248.00,$0.00,$248.00,4,$371.00,$0.00,$371.00,6
Other depression costs,$675.00,$30.00,$645.00,11,$620.00,$35.00,$584.00,10
Medical Services,$412.00,$12.00,$400.00,7,$470.00,$14.00,$456.00,8
Inpatient,$159.00,$1.00,$157.00,3,$160.00,$4.00,$156.00,3
Emergency Department,$22.00,$0.00,$22.00,0,$35.00,$1.00,$34.00,1
Outpatient,$197.00,$10.00,$187.00,3,$231.00,$9.00,$222.00,4
Other,$35.00,$0.00,$34.00,1,$44.00,$0.00,$44.00,1
Prescription Drug,$263.00,$18.00,$246.00,4,$150.00,$21.00,$128.00,2
Antianxiety agents,$49.00,$1.00,$48.00,1,$25.00,$1.00,$24.00,0
Anticonvulsants,$214.00,$16.00,$198.00,3,$124.00,$20.00,$104.00,2
Nondepression costs,"$6,679.00","$3,911.00","$2,767.00",48,"$7,394.00","$4,356.00","$3,038.00",51
Other mental health disorders,$436.00,$37.00,$399.00,7,$594.00,$70.00,$524.00,9
Inpatient,$171.00,$15.00,$156.00,3,$183.00,$37.00,$147.00,2
Emergency Department,$32.00,$3.00,$29.00,1,$51.00,$7.00,$44.00,1
Outpatient,$140.00,$17.00,$123.00,2,$234.00,$25.00,$209.00,3
Other,$92.00,$1.00,$91.00,2,$126.00,$2.00,$124.00,2
Non-mental health disorders,"$4,595.00","$3,083.00","$1,512.00",26,"$5,130.00","$3,382.00","$1,748.00",29
Inpatient,"$1,322.00",$951.00,$371.00,6,"$1,552.00","$1,053.00",$499.00,8
Emergency Department,$271.00,$131.00,$140.00,2,$316.00,$171.00,$145.00,2
Outpatient,"$2,714.00","$1,839.00",$874.00,15,"$3,029.00","$2,017.00","$1,012.00",17
Other,$289.00,$162.00,$127.00,2,$233.00,$141.00,$91.00,2
Prescription Drug,"$1,647.00",$792.00,$856.00,15,"$1,671.00",$904.00,$767.00,13
Analgesics--opioid,$151.00,$7.00,$145.00,3,$137.00,$14.00,$124.00,2
Ulcer Drugs,$169.00,$62.00,$107.00,2,$115.00,$45.00,$71.00,1
Hypnotics,$87.00,$4.00,$83.00,1,$57.00,$4.00,$54.00,1
ADHD/antinarcolepsy/antiobesity/anorexiants,$119.00,$4.00,$115.00,2,$171.00,$9.00,$162.00,3
Other nondepression prescription drugs,"$1,121.00",$714.00,$407.00,7,"$1,189.00",$833.00,$356.00,6
Total direct costs,"$9,648.00","$3,941.00","$5,707.00",100,"$10,379.00","$4,391.00","$5,988.00",100
,,,,,,,,
https://www.psychiatrist.com/jcp/article/Pages/2015/v76n02/v76n0204.aspx,,,,,,,,
